Time of A;Time minus avg Time of A;Time of B;Time minus avg Time of B;Avg time of A & B;Payment A;Payment B;Fact.A Time of A;Fact.A Time minus avg Time of A;Fact.A Time of B;Fact.A Time minus avg Time of B;Fact.A Avg time of A & B;Fact.A Payment A;Fact.A Payment B;Fact.B Time of A;Fact.B Time minus avg Time of A;Fact.B Time of B;Fact.B Time minus avg Time of B;Fact.B Avg time of A & B;Fact.B Payment A;Fact.B Payment B
5254.0;2523.0;6478.0;-619.0;952.0;-1571.0;1571.0;5254000.0;5251269.0;6478.0;-619.0;2625325.0;-2625944.0;2625944.0;5254.0;2523.0;6478000.0;6470903.0;3236713.0;3234190.0;-3234190.0
4341.0;1610.0;6579.0;-518.0;546.0;-1064.0;1064.0;4341000.0;4338269.0;6579.0;-518.0;2168875.5;-2169393.5;2169393.5;4341.0;1610.0;6579000.0;6571903.0;3286756.5;3285146.5;-3285146.5
1636.0;-1095.0;7472.0;375.0;-360.0;735.0;-735.0;1636000.0;1633269.0;7472.0;375.0;816822.0;-816447.0;816447.0;1636.0;-1095.0;7472000.0;7464903.0;3731904.0;3732999.0;-3732999.0
2868.0;137.0;6830.0;-267.0;-65.0;-202.0;202.0;2868000.0;2865269.0;6830.0;-267.0;1432501.0;-1432768.0;1432768.0;2868.0;137.0;6830000.0;6822903.0;3411520.0;3411383.0;-3411383.0
1586.0;-1145.0;7545.0;448.0;-348.5;796.5;-796.5;1586000.0;1583269.0;7545.0;448.0;791858.5;-791410.5;791410.5;1586.0;-1145.0;7545000.0;7537903.0;3768379.0;3769524.0;-3769524.0
3002.0;271.0;6804.0;-293.0;-11.0;-282.0;282.0;3002000.0;2999269.0;6804.0;-293.0;1499488.0;-1499781.0;1499781.0;3002.0;271.0;6804000.0;6796903.0;3398587.0;3398316.0;-3398316.0
1831.0;-900.0;7303.0;206.0;-347.0;553.0;-553.0;1831000.0;1828269.0;7303.0;206.0;914237.5;-914031.5;914031.5;1831.0;-900.0;7303000.0;7295903.0;3647501.5;3648401.5;-3648401.5
1337.0;-1394.0;7897.0;800.0;-297.0;1097.0;-1097.0;1337000.0;1334269.0;7897.0;800.0;667534.5;-666734.5;666734.5;1337.0;-1394.0;7897000.0;7889903.0;3944254.5;3945648.5;-3945648.5
1257.0;-1474.0;8091.0;994.0;-240.0;1234.0;-1234.0;1257000.0;1254269.0;8091.0;994.0;627631.5;-626637.5;626637.5;1257.0;-1474.0;8091000.0;8083903.0;4041214.5;4042688.5;-4042688.5
3078.0;347.0;6783.0;-314.0;16.5;-330.5;330.5;3078000.0;3075269.0;6783.0;-314.0;1537477.5;-1537791.5;1537791.5;3078.0;347.0;6783000.0;6775903.0;3388125.0;3387778.0;-3387778.0
1306.0;-1425.0;8005.0;908.0;-258.5;1166.5;-1166.5;1306000.0;1303269.0;8005.0;908.0;652088.5;-651180.5;651180.5;1306.0;-1425.0;8005000.0;7997903.0;3998239.0;3999664.0;-3999664.0
3084.0;353.0;6779.0;-318.0;17.5;-335.5;335.5;3084000.0;3081269.0;6779.0;-318.0;1540475.5;-1540793.5;1540793.5;3084.0;353.0;6779000.0;6771903.0;3386128.0;3385775.0;-3385775.0
1226.0;-1505.0;8194.0;1097.0;-204.0;1301.0;-1301.0;1226000.0;1223269.0;8194.0;1097.0;612183.0;-611086.0;611086.0;1226.0;-1505.0;8194000.0;8186903.0;4092699.0;4094204.0;-4094204.0
1860.0;-871.0;7280.0;183.0;-344.0;527.0;-527.0;1860000.0;1857269.0;7280.0;183.0;928726.0;-928543.0;928543.0;1860.0;-871.0;7280000.0;7272903.0;3636016.0;3636887.0;-3636887.0
4755.0;2024.0;6531.0;-566.0;729.0;-1295.0;1295.0;4755000.0;4752269.0;6531.0;-566.0;2375851.5;-2376417.5;2376417.5;4755.0;2024.0;6531000.0;6523903.0;3262963.5;3260939.5;-3260939.5
1916.0;-815.0;7242.0;145.0;-335.0;480.0;-480.0;1916000.0;1913269.0;7242.0;145.0;956707.0;-956562.0;956562.0;1916.0;-815.0;7242000.0;7234903.0;3617044.0;3617859.0;-3617859.0
3360.0;629.0;6720.0;-377.0;126.0;-503.0;503.0;3360000.0;3357269.0;6720.0;-377.0;1678446.0;-1678823.0;1678823.0;3360.0;629.0;6720000.0;6712903.0;3356766.0;3356137.0;-3356137.0
4233.0;1502.0;6594.0;-503.0;499.5;-1002.5;1002.5;4233000.0;4230269.0;6594.0;-503.0;2114883.0;-2115386.0;2115386.0;4233.0;1502.0;6594000.0;6586903.0;3294202.5;3292700.5;-3292700.5
1613.0;-1118.0;7496.0;399.0;-359.5;758.5;-758.5;1613000.0;1610269.0;7496.0;399.0;805334.0;-804935.0;804935.0;1613.0;-1118.0;7496000.0;7488903.0;3743892.5;3745010.5;-3745010.5
2090.0;-641.0;7150.0;53.0;-294.0;347.0;-347.0;2090000.0;2087269.0;7150.0;53.0;1043661.0;-1043608.0;1043608.0;2090.0;-641.0;7150000.0;7142903.0;3571131.0;3571772.0;-3571772.0
4934.0;2203.0;6509.0;-588.0;807.5;-1395.5;1395.5;4934000.0;4931269.0;6509.0;-588.0;2465340.5;-2465928.5;2465928.5;4934.0;2203.0;6509000.0;6501903.0;3252053.0;3249850.0;-3249850.0
1340.0;-1391.0;7887.0;790.0;-300.5;1090.5;-1090.5;1340000.0;1337269.0;7887.0;790.0;669029.5;-668239.5;668239.5;1340.0;-1391.0;7887000.0;7879903.0;3939256.0;3940647.0;-3940647.0
1797.0;-934.0;7337.0;240.0;-347.0;587.0;-587.0;1797000.0;1794269.0;7337.0;240.0;897254.5;-897014.5;897014.5;1797.0;-934.0;7337000.0;7329903.0;3664484.5;3665418.5;-3665418.5
4717.0;1986.0;6533.0;-564.0;711.0;-1275.0;1275.0;4717000.0;4714269.0;6533.0;-564.0;2356852.5;-2357416.5;2357416.5;4717.0;1986.0;6533000.0;6525903.0;3263944.5;3261958.5;-3261958.5
3573.0;842.0;6686.0;-411.0;215.5;-626.5;626.5;3573000.0;3570269.0;6686.0;-411.0;1784929.0;-1785340.0;1785340.0;3573.0;842.0;6686000.0;6678903.0;3339872.5;3339030.5;-3339030.5
1830.0;-901.0;7310.0;213.0;-344.0;557.0;-557.0;1830000.0;1827269.0;7310.0;213.0;913741.0;-913528.0;913528.0;1830.0;-901.0;7310000.0;7302903.0;3651001.0;3651902.0;-3651902.0
1930.0;-801.0;7232.0;135.0;-333.0;468.0;-468.0;1930000.0;1927269.0;7232.0;135.0;963702.0;-963567.0;963567.0;1930.0;-801.0;7232000.0;7224903.0;3612051.0;3612852.0;-3612852.0
1389.0;-1342.0;7820.0;723.0;-309.5;1032.5;-1032.5;1389000.0;1386269.0;7820.0;723.0;693496.0;-692773.0;692773.0;1389.0;-1342.0;7820000.0;7812903.0;3905780.5;3907122.5;-3907122.5
1601.0;-1130.0;7534.0;437.0;-346.5;783.5;-783.5;1601000.0;1598269.0;7534.0;437.0;799353.0;-798916.0;798916.0;1601.0;-1130.0;7534000.0;7526903.0;3762886.5;3764016.5;-3764016.5
5279.0;2548.0;6477.0;-620.0;964.0;-1584.0;1584.0;5279000.0;5276269.0;6477.0;-620.0;2637824.5;-2638444.5;2638444.5;5279.0;2548.0;6477000.0;6469903.0;3236225.5;3233677.5;-3233677.5
4905.0;2174.0;6513.0;-584.0;795.0;-1379.0;1379.0;4905000.0;4902269.0;6513.0;-584.0;2450842.5;-2451426.5;2451426.5;4905.0;2174.0;6513000.0;6505903.0;3254038.5;3251864.5;-3251864.5
1606.0;-1125.0;7524.0;427.0;-349.0;776.0;-776.0;1606000.0;1603269.0;7524.0;427.0;801848.0;-801421.0;801421.0;1606.0;-1125.0;7524000.0;7516903.0;3757889.0;3759014.0;-3759014.0
3025.0;294.0;6798.0;-299.0;-2.5;-296.5;296.5;3025000.0;3022269.0;6798.0;-299.0;1510985.0;-1511284.0;1511284.0;3025.0;294.0;6798000.0;6790903.0;3395598.5;3395304.5;-3395304.5
1451.0;-1280.0;7738.0;641.0;-319.5;960.5;-960.5;1451000.0;1448269.0;7738.0;641.0;724455.0;-723814.0;723814.0;1451.0;-1280.0;7738000.0;7730903.0;3864811.5;3866091.5;-3866091.5
4918.0;2187.0;6511.0;-586.0;800.5;-1386.5;1386.5;4918000.0;4915269.0;6511.0;-586.0;2457341.5;-2457927.5;2457927.5;4918.0;2187.0;6511000.0;6503903.0;3253045.0;3250858.0;-3250858.0
1940.0;-791.0;7224.0;127.0;-332.0;459.0;-459.0;1940000.0;1937269.0;7224.0;127.0;968698.0;-968571.0;968571.0;1940.0;-791.0;7224000.0;7216903.0;3608056.0;3608847.0;-3608847.0
4295.0;1564.0;6585.0;-512.0;526.0;-1038.0;1038.0;4295000.0;4292269.0;6585.0;-512.0;2145878.5;-2146390.5;2146390.5;4295.0;1564.0;6585000.0;6577903.0;3289733.5;3288169.5;-3288169.5
4128.0;1397.0;6615.0;-482.0;457.5;-939.5;939.5;4128000.0;4125269.0;6615.0;-482.0;2062393.5;-2062875.5;2062875.5;4128.0;1397.0;6615000.0;6607903.0;3304650.0;3303253.0;-3303253.0
